date,datetime,cash_type,card,money,coffee_name
2024-08-01,2024-08-01 07:31:00.085,card,ANON-0000-0000-0423,27.92,Americano with Milk
2024-08-01,2024-08-01 09:25:20.060,card,ANON-0000-0000-0276,27.92,Americano with Milk
2024-08-01,2024-08-01 11:04:14.067,card,ANON-0000-0000-0097,27.92,Americano with Milk
2024-08-01,2024-08-01 11:22:46.369,card,ANON-0000-0000-0447,27.92,Americano with Milk
2024-08-01,2024-08-01 13:22:46.601,card,ANON-0000-0000-0448,23.02,Cortado
2024-08-01,2024-08-01 13:23:37.314,card,ANON-0000-0000-0448,32.82,Cappuccino
2024-08-01,2024-08-01 13:49:07.265,card,ANON-0000-0000-0449,32.82,Cappuccino
2024-08-01,2024-08-01 15:43:43.820,card,ANON-0000-0000-0423,27.92,Americano with Milk
2024-08-01,2024-08-01 16:24:00.663,card,ANON-0000-0000-0450,27.92,Americano with Milk
2024-08-01,2024-08-01 16:26:07.331,card,ANON-0000-0000-0450,23.02,Americano
2024-08-01,2024-08-01 17:23:35.238,card,ANON-0000-0000-0451,23.02,Americano
2024-08-01,2024-08-01 20:41:28.118,card,ANON-0000-0000-0452,32.82,Cappuccino
2024-08-02,2024-08-02 09:01:54.165,card,ANON-0000-0000-0453,27.92,Americano with Milk
2024-08-02,2024-08-02 09:35:02.899,card,ANON-0000-0000-0097,27.92,Americano with Milk
2024-08-02,2024-08-02 11:09:19.465,card,ANON-0000-0000-0141,23.02,Cortado
2024-08-02,2024-08-02 18:08:35.282,card,ANON-0000-0000-0454,27.92,Americano with Milk
2024-08-02,2024-08-02 21:23:04.359,card,ANON-0000-0000-0009,32.82,Latte
2024-08-03,2024-08-03 08:53:46.651,card,ANON-0000-0000-0097,27.92,Americano with Milk
2024-08-03,2024-08-03 09:37:19.213,card,ANON-0000-0000-0401,27.92,Americano with Milk
2024-08-03,2024-08-03 09:38:41.010,card,ANON-0000-0000-0401,27.92,Americano with Milk
2024-08-03,2024-08-03 10:12:25.650,card,ANON-0000-0000-0304,27.92,Americano with Milk
2024-08-03,2024-08-03 11:20:26.571,card,ANON-0000-0000-0455,23.02,Cortado
2024-08-03,2024-08-03 11:21:22.000,card,ANON-0000-0000-0455,23.02,Cortado
